customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,predicted_churn,churn_probability
15696989,469,Germany,Female,52,8,139493.25,3,0,0,150093.32,1,1,0.954099567654581
15703793,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,0.9405833612024602
15634551,727,Germany,Male,46,3,115248.11,4,1,0,130752.01,1,1,0.9375355424281301
15653937,638,Germany,Female,53,1,123916.67,1,1,0,16657.68,1,1,0.9369357319071753
15647725,675,France,Female,61,5,62055.17,3,1,0,166305.16,1,1,0.9369345461784475
15712551,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1,1,0.9264362284296763
15695339,517,Germany,Male,53,0,109172.88,1,1,0,54676.1,1,1,0.9259987203756307
15692750,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1,1,0.9242274712930092
15805260,705,Germany,Female,56,2,143249.67,1,1,0,88428.41,1,1,0.9237457506056682
15793049,680,Germany,Female,48,8,115115.38,1,1,0,139558.6,1,1,0.9221132922598749
15806049,714,Germany,Female,49,5,140510.89,1,1,0,141914.94,0,1,0.9217337647544975
15655082,607,France,Female,48,4,112070.86,3,1,0,173568.3,1,1,0.9205516282776949
15642391,621,Germany,Male,51,4,109978.83,1,0,0,177740.58,1,1,0.9202793583283014
15647842,601,Germany,Female,48,8,120782.7,1,1,0,63940.68,1,1,0.9198100047078535
15779176,565,Germany,Female,58,3,108888.24,3,0,1,135875.51,1,1,0.9159461759941486
15724154,625,Germany,Female,49,4,128504.76,1,1,0,126812.63,1,1,0.9142873346383221
15638610,635,Germany,Female,65,5,117325.54,1,1,0,155799.86,1,1,0.9134377808339122
15698732,789,Germany,Male,51,3,104677.09,1,1,0,74265.38,0,1,0.9113718850146166
15647898,610,Spain,Female,50,5,130554.51,3,1,0,184758.17,1,1,0.9096544246482438
15591169,788,Germany,Female,49,4,137455.99,1,1,0,184178.29,1,1,0.9083701384442352
15664001,695,Germany,Female,53,8,95231.91,1,0,0,70140.8,1,1,0.9078797823060307
15769246,813,Germany,Male,59,2,135078.41,1,1,0,187636.06,1,1,0.9077153725639228
15720559,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1,1,0.9069961790083403
15724321,516,Germany,Female,47,9,128298.74,1,0,0,149614.17,1,1,0.9068454126598913
15786196,555,France,Female,44,3,105770.7,3,1,0,60533.96,1,1,0.9066018434455982
15677105,706,Germany,Female,46,4,105214.58,1,1,0,108699.59,1,1,0.9065017107556557
15610446,714,France,Female,51,4,88308.87,3,0,0,5862.53,1,1,0.9061389711362378
15624519,656,Germany,Female,49,9,97092.87,1,1,0,74771.22,1,1,0.9055712754709081
15811690,793,Germany,Male,54,2,128966.13,1,0,0,18633.4,1,1,0.9046911188741218
15654733,794,Germany,Male,57,3,117056.46,1,1,0,93336.93,1,1,0.9040276427125571
15768163,655,Germany,Female,46,7,137145.12,1,1,0,115146.4,1,1,0.9039758720906648
15813113,795,Spain,Female,56,5,0.0,1,1,0,35418.69,1,1,0.9029839484123429
15668283,642,France,Male,48,9,118317.27,4,0,0,78702.98,1,1,0.9023651193192375
15787318,537,Germany,Female,47,6,103163.35,1,1,0,16259.64,1,1,0.9022211896189906
15719508,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,1,1,0.8978621532351474
15806808,834,Germany,Female,57,8,112281.6,3,1,0,140225.14,1,1,0.8975505955706298
15751491,443,Germany,Male,50,3,117206.3,1,1,0,42840.18,1,1,0.8964321561190496
15704284,736,Germany,Male,57,9,95295.39,1,1,0,28434.44,1,1,0.8962977912195177
15595592,708,France,Female,59,2,0.0,1,1,0,179673.11,1,1,0.8958693746417548
15707637,765,France,Female,56,1,0.0,1,1,0,13228.93,1,1,0.8948232605974584
15583392,747,Germany,Male,37,9,135776.36,3,1,0,85470.45,1,1,0.8937730241876868
15585362,749,France,Female,60,6,0.0,1,1,0,17978.68,1,1,0.8928860571937962
15704583,651,France,Male,56,2,0.0,1,1,0,114522.68,1,1,0.8923017916222696
15607537,587,Germany,Male,46,9,107850.82,1,1,0,139431.0,1,1,0.8891426149774384
15769703,550,Germany,Female,45,8,111257.59,1,0,0,97623.42,1,1,0.8871898235896458
15677796,766,Germany,Male,47,9,129289.98,1,1,0,169935.46,1,1,0.8870025682239934
15624820,683,Spain,Male,56,7,50911.21,3,0,0,97629.31,1,1,0.8869675697843519
15589017,547,Germany,Male,55,4,111362.76,3,1,0,16922.28,1,1,0.8858216208638209
15772329,580,Germany,Male,45,8,103741.14,1,1,0,47428.73,1,1,0.8856842318620616
15814846,691,France,Male,52,3,0.0,1,1,0,175843.68,1,1,0.8847306121740618
